1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2462
3.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -78, frequency: 5280
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5240
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5280
6.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -68, frequency: 5240
8.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -72, frequency: 2437
9.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -80, frequency: 2462
Time passed (ms): 1363345517481
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
3.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5280
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5240
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5280
6.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -69, frequency: 5240
7.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -71, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -82, frequency: 2462
9.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 5680
10.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5320
11.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
12.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2432
13.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2432
14.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2417
15.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2417
16.SSID: mops, BSSID: 00:17:df:a7:e8:de, capabilities: [ESS], level: -87, frequency: 5680
17.SSID: mops, BSSID: 00:17:df:a7:e8:d1, capabilities: [ESS], level: -88, frequency: 2462
18.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -91, frequency: 2432
Time passed (ms): 1363345517490
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
3.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5280
